Filename,SegCellCount,NucleiCount,CellID,totMyc,meanMyc,SumGolATG9,totATG9A,PearsonCoeff,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
,,,,,,,,,,,,,1,6.90949,0.641644,3984,2,10.1949,0.246786,1515
,,,,,,,,,,,,,1,16.8905,0.0987145,1200,2,11.1512,7.36833,2444
,,,,,,,,,,,,,1,4.28537,0.141021,1340,2,10.7028,0.00705104,997
,,,,,,,,,,,,,1,10.9925,0.0282041,1164,2,9.0904,0.0705104,1345
,,,,,,,,,,,,,1,10.431,0.331399,1701,2,7.79149,0.740359,1678
,,,,,,,,,,,,,1,11.6983,0.105766,1429,2,9.35244,3.0672,1937
,,,,,,,,,,,,,1,10.4282,0.00705104,988,2,8.9717,0.606389,1775
,,,,,,,,,,,,,1,8.98663,0.0634593,1134,2,10.9953,0.155123,1362
,,,,,,,,,,,,,1,11.9269,0.00705104,1110,2,11.8416,0.324348,1571
,,,,,,,,,,,,,1,10.2676,0.0141021,950,2,8.92872,0.0141021,963
,,,,,,,,,,,,,1,11.4709,0.0564083,1325,2,8.43305,0.0352552,1188
,,,,,,,,,,,,,1,9.95728,0.112817,1232,2,11.4851,0.458317,1545
,,,,,,,,,,,,,1,10.7799,0.0775614,1185,2,10.3532,0.0141021,1000
,,,,,,,,,,,,,1,11.8866,0.0211531,1084,2,6.55363,0.00705104,869
,,,,,,,,,,,,,1,7.32868,0.0141021,1135,2,3.9666,0.514726,2231
,,,,,,,,,,,,,1,17.1202,0.00705104,903,2,4.25169,0.430113,1487
,,,,,,,,,,,,,1,6.89182,0.00705104,1085,2,8.06077,2.25633,2145
,,,,,,,,,,,,,1,11.938,0.0987145,1383,2,4.74645,0.169225,1150
,,,,,,,,,,,,,1,15.0794,0.345501,1268,2,4.19114,0.27499,1863
,,,,,,,,,,,,,1,14.5898,0.0846124,1382,2,6.2376,0.0211531,1083
,,,,,,,,,,,,,1,10.8477,0.0211531,1056,2,1.63398,0.211531,1592
,,,,,,,,,,,,,1,7.65146,0.169225,1330,2,2.4238,0.296143,1719
,,,,,,,,,,,,,1,10.0086,0.303195,1368,2,3.24452,0.119868,1166
,,,,,,,,,,,,,1,11.2122,0.0211531,991,2,7.05271,0.698052,1550
,,,,,,,,,,,,,1,6.21686,0.0141021,1093,2,10.2531,0.535879,1796
,,,,,,,,,,,,,1,13.6168,0.00705104,910,2,9.79707,0.176276,1598
,,,,,,,,,,,,,1,9.34136,0.105766,1243,2,6.18986,0.761512,1543
,,,,,,,,,,,,,1,11.5915,0.0211531,1009,2,9.54407,0.0282041,1136
,,,,,,,,,,,,,1,12.541,0.0282041,1241,2,6.43998,0.81792,1816
,,,,,,,,,,,,,1,7.30938,0.0493572,1356,2,5.80455,1.0083,2350
,,,,,,,,,,,,,1,12.4825,1.14227,1641,2,8.93993,0.112817,1331
,,,,,,,,,,,,,1,10.476,0.105766,1198,2,6.4172,1.36085,1613
,,,,,,,,,,,,,1,8.26625,0.00705104,1016,2,8.44392,0.282041,1312
,,,,,,,,,,,,,1,11.4944,0.00705104,920,2,7.17943,0.00705104,906
,,,,,,,,,,,,,1,11.7467,0.0846124,1215,2,1.80248,0.712155,1898
,,,,,,,,,,,,,1,14.5814,0.00705104,1125,2,8.61635,0.253837,1332
,,,,,,,,,,,,,1,11.7526,0.0705104,1107,2,5.16282,2.0448,1845
,,,,,,,,,,,,,1,12.9527,0.0634593,1191,2,2.05422,0.0916635,1190
,,,,,,,,,,,,,1,16.5156,0.155123,1245,2,6.7648,0.33845,1834
,,,,,,,,,,,,,1,14.8764,0.472419,1971,2,3.7146,0.0211531,1020
,,,,,,,,,,,,,1,14.1484,0.119868,1159,2,6.40225,0.796767,2387
,,,,,,,,,,,,,1,14.7146,0.0493572,1072,2,2.06925,0.13397,1373
,,,,,,,,,,,,,1,12.4813,0.0564083,1134,2,2.70836,0.0493572,1196
,,,,,,,,,,,,,1,12.4442,0.183327,1841,2,4.65169,0.155123,1421
,,,,,,,,,,,,,1,15.4648,0.0141021,1061,2,5.86419,0.0211531,1205
,,,,,,,,,,,,,1,15.295,0.183327,1323,2,2.97365,0.119868,1249
,,,,,,,,,,,,,1,13.2477,0.0141021,1100,2,9.39248,0.958941,2663
,,,,,,,,,,,,,1,14.616,0.0564083,1136,2,4.70049,0.373705,1178
,,,,,,,,,,,,,1,15.2475,0.0141021,908,2,4.51997,0.0916635,1097
,,,,,,,,,,,,,1,21.7569,0.0141021,918,2,5.85804,0.606389,1838
,,,,,,,,,,,,,1,19.9943,0.0211531,1142,2,2.98773,0.27499,1257
,,,,,,,,,,,,,1,22.012,0.00705104,947,2,1.5783,1.0506,1665
,,,,,,,,,,,,,1,16.7175,0.00705104,1383,2,2.79648,0.796767,1615
,,,,,,,,,,,,,1,18.2318,0.141021,1362,2,3.80657,0.465368,1541
,,,,,,,,,,,,,1,16.9519,0.0493572,1141,2,8.97188,0.296143,1598
,,,,,,,,,,,,,1,16.147,0.0987145,1406,2,8.75911,0.267939,1438
,,,,,,,,,,,,,1,17.7965,0.0141021,1026,2,9.88012,0.373705,1167
,,,,,,,,,,,,,1,17.0555,0.00705104,891,2,8.12026,0.148072,1233
,,,,,,,,,,,,,1,18.8484,0.00705104,949,2,6.77221,0.373705,1413
,,,,,,,,,,,,,1,20.2201,0.0352552,1150,2,2.79113,1.28329,1626
,,,,,,,,,,,,,1,18.0456,0.232684,1813,2,4.42256,0.00705104,861
,,,,,,,,,,,,,1,20.2894,0.00705104,989,2,6.93947,5.35879,2623
,,,,,,,,,,,,,1,15.8143,0.296143,1650,2,7.76836,0.0423062,1055
,,,,,,,,,,,,,1,17.6759,0.0141021,1092,2,5.08537,0.169225,1197
,,,,,,,,,,,,,1,16.7664,0.0141021,1122,2,6.59586,0.253837,1333
,,,,,,,,,,,,,1,14.914,0.0987145,1345,2,5.78915,0.0211531,1060
,,,,,,,,,,,,,1,15.1778,0.0775614,1175,2,5.71251,0.00705104,876
,,,,,,,,,,,,,1,23.1288,0.289092,1284,2,6.23174,0.430113,1836
,,,,,,,,,,,,,1,25.9247,0.0352552,1113,2,6.3992,0.387807,1505
,,,,,,,,,,,,,1,21.3398,0.0141021,1018,2,9.04843,0.218582,1268
,,,,,,,,,,,,,1,36.371,0.00705104,894,2,6.92769,0.0987145,1152
,,,,,,,,,,,,,1,36.4922,0.162174,1344,2,11.3329,0.00705104,1016
,,,,,,,,,,,,,1,37.9236,0.0564083,1118,,,,
,,,,,,,,,,,,,1,37.0971,0.119868,1450,,,,
,,,,,,,,,,,,,1,35.1401,0.444215,2245,,,,
,,,,,,,,,,,,,1,34.0144,0.0423062,1187,,,,
,,,,,,,,,,,,,1,34.1159,0.0775614,1088,,,,
,,,,,,,,,,,,,1,36.7405,0.0141021,926,,,,
,,,,,,,,,,,,,1,34.9617,0.00705104,943,,,,
,,,,,,,,,,,,,1,35.9241,0.00705104,1000,,,,
,,,,,,,,,,,,,1,38.4715,0.0493572,1111,,,,
,,,,,,,,,,,,,1,39.6693,0.317297,1385,,,,
,,,,,,,,,,,,,2,33.6994,0.00705104,1012,,,,
,,,,,,,,,,,,,2,33.6782,0.0211531,1343,,,,
,,,,,,,,,,,,,2,30.1606,0.232684,1840,,,,
,,,,,,,,,,,,,2,26.9953,0.0423062,1246,,,,
,,,,,,,,,,,,,2,25.7241,0.0211531,1104,,,,
,,,,,,,,,,,,,2,25.4394,0.0352552,1057,,,,
,,,,,,,,,,,,,2,23.0953,0.401909,1316,,,,
,,,,,,,,,,,,,2,23.011,0.0493572,1120,,,,
,,,,,,,,,,,,,2,20.0803,0.00705104,913,,,,
,,,,,,,,,,,,,2,21.2763,1.45251,1953,,,,
,,,,,,,,,,,,,2,21.4719,0.296143,1438,,,,
,,,,,,,,,,,,,2,19.7091,0.655746,2771,,,,
,,,,,,,,,,,,,2,19.1908,0.00705104,902,,,,
,,,,,,,,,,,,,2,19.9596,0.0846124,1276,,,,
,,,,,,,,,,,,,2,21.6501,0.00705104,1035,,,,
,,,,,,,,,,,,,2,20.4277,0.0493572,1149,,,,
,,,,,,,,,,,,,2,21.6498,0.0141021,1074,,,,
,,,,,,,,,,,,,2,19.0489,0.183327,1384,,,,
,,,,,,,,,,,,,2,19.396,0.0987145,1334,,,,
,,,,,,,,,,,,,2,18.6825,0.0352552,1223,,,,
,,,,,,,,,,,,,2,18.823,0.0141021,1009,,,,
,,,,,,,,,,,,,2,17.861,0.0211531,1142,,,,
,,,,,,,,,,,,,2,16.9947,0.0211531,941,,,,
,,,,,,,,,,,,,2,15.6975,0.00705104,918,,,,
,,,,,,,,,,,,,2,19.4718,0.0493572,1109,,,,
,,,,,,,,,,,,,2,20.477,0.0141021,911,,,,
,,,,,,,,,,,,,2,19.3487,0.00705104,1001,,,,
,,,,,,,,,,,,,2,18.7759,0.0211531,1137,,,,
,,,,,,,,,,,,,2,18.0943,0.0423062,1105,,,,
,,,,,,,,,,,,,2,17.8681,0.00705104,1018,,,,
,,,,,,,,,,,,,2,17.2982,0.0634593,1194,,,,
,,,,,,,,,,,,,2,19.1278,0.0493572,1521,,,,
,,,,,,,,,,,,,2,14.7107,0.00705104,1061,,,,
,,,,,,,,,,,,,2,17.0562,0.13397,1483,,,,
,,,,,,,,,,,,,2,16.776,0.00705104,860,,,,
,,,,,,,,,,,,,2,19.5915,0.183327,1491,,,,
,,,,,,,,,,,,,2,17.0312,0.105766,1449,,,,
,,,,,,,,,,,,,2,15.9019,0.444215,1480,,,,
,,,,,,,,,,,,,2,15.2135,0.169225,1311,,,,
,,,,,,,,,,,,,2,15.0029,0.0634593,1079,,,,
,,,,,,,,,,,,,2,15.0821,0.0141021,1068,,,,
,,,,,,,,,,,,,2,17.2073,0.0564083,1120,,,,
,,,,,,,,,,,,,2,13.459,0.0141021,1164,,,,
,,,,,,,,,,,,,2,11.7463,0.00705104,954,,,,
,,,,,,,,,,,,,2,15.9158,0.197429,1437,,,,
,,,,,,,,,,,,,2,12.0478,0.0564083,1039,,,,
,,,,,,,,,,,,,2,13.3761,0.162174,1753,,,,
,,,,,,,,,,,,,2,13.3359,0.0705104,1084,,,,
,,,,,,,,,,,,,2,7.38121,0.0211531,1034,,,,
,,,,,,,,,,,,,2,11.9087,0.00705104,1103,,,,
,,,,,,,,,,,,,2,10.0805,0.0141021,972,,,,
,,,,,,,,,,,,,2,13.2307,0.0705104,1273,,,,
,,,,,,,,,,,,,2,11.8757,0.0634593,1202,,,,
