Filename,SegCellCount,NucleiCount,CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,PearsonCoeff,SumGolATG9,totATG9A,MajorAxisLength,MinorAxisLength,nCell,NucDis,gCell,GolATG9Dis,pCell,nonGolATG9Dis
,,,,,,,,,,,,,,,,,,7,4.02856
,,,,,,,,,,,,,,,,,,7,4.85309
,,,,,,,,,,,,,,,,,,7,7.19555
,,,,,,,,,,,,,,,,,,7,11.0231
,,,,,,,,,,,,,,,,,,7,5.64112
,,,,,,,,,,,,,,,,,,7,14.5181
ATG9-GolSeg_1Feb22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_002.nd2,2,2,1,0.669054,0.276261,1.62033,0.948481,0.897821,0.602874,2.87564e+07,1.08299e+08,55.8918,28.9515,1,2.15906,1,8.18234,,
,,,2,0.656025,0.297314,1.44752,0.932951,0.856569,0.594188,1.03768e+07,8.94275e+07,44.9103,34.5836,2,0.935154,1,5.91373,,
,,,,,,,,,,,,,,,,1,5.02662,1,25.5987
,,,,,,,,,,,,,,,,1,5.10514,1,25.5536
,,,,,,,,,,,,,,,,1,2.72609,1,24.8709
,,,,,,,,,,,,,,,,1,3.68322,1,22.2731
,,,,,,,,,,,,,,,,1,1.78297,1,21.3242
,,,,,,,,,,,,,,,,1,4.49749,1,18.4529
,,,,,,,,,,,,,,,,1,1.53682,1,18.6583
,,,,,,,,,,,,,,,,1,1.44573,1,15.17
,,,,,,,,,,,,,,,,1,3.54785,1,14.5613
,,,,,,,,,,,,,,,,1,7.20456,1,17.3623
,,,,,,,,,,,,,,,,1,5.9822,1,15.5775
,,,,,,,,,,,,,,,,1,5.03959,1,12.7829
,,,,,,,,,,,,,,,,1,10.9296,1,15.326
,,,,,,,,,,,,,,,,1,6.39898,1,11.1545
,,,,,,,,,,,,,,,,1,3.76192,1,13.1805
,,,,,,,,,,,,,,,,1,4.02689,1,13.3153
,,,,,,,,,,,,,,,,1,3.21956,1,14.2487
,,,,,,,,,,,,,,,,1,2.38484,1,10.214
,,,,,,,,,,,,,,,,1,9.78396,1,10.4751
,,,,,,,,,,,,,,,,2,8.44795,1,7.2744
,,,,,,,,,,,,,,,,2,8.9909,1,4.05309
,,,,,,,,,,,,,,,,2,11.1981,1,10.8345
,,,,,,,,,,,,,,,,2,5.33142,1,5.09415
,,,,,,,,,,,,,,,,2,7.15765,1,10.6081
,,,,,,,,,,,,,,,,2,2.71399,1,3.89804
,,,,,,,,,,,,,,,,2,7.77306,1,9.6718
,,,,,,,,,,,,,,,,2,5.8019,1,9.31527
,,,,,,,,,,,,,,,,2,6.23227,1,11.5268
,,,,,,,,,,,,,,,,2,1.47056,1,6.34987
,,,,,,,,,,,,,,,,2,8.1832,1,10.4635
,,,,,,,,,,,,,,,,2,10.029,2,13.1207
,,,,,,,,,,,,,,,,2,5.763,2,10.2609
,,,,,,,,,,,,,,,,2,1.27056,2,13.6014
,,,,,,,,,,,,,,,,2,0.344005,2,6.91668
,,,,,,,,,,,,,,,,2,7.51209,2,7.78566
,,,,,,,,,,,,,,,,,,2,9.45339
,,,,,,,,,,,,,,,,,,2,12.5131
,,,,,,,,,,,,,,,,,,2,11.9614
ATG9-GolSeg_1Feb22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_003_crop.nd2,6,6,1,0.681963,0.181747,2.5589,0.844489,0.719779,0.63781,1.95607e+07,1.03391e+08,36.9536,34.2665,1,1.68194,1,1.70348,1,3.36385
,,,2,0.658295,0.217655,1.99101,0.871259,0.817022,0.606501,2.99337e+07,1.24918e+08,45.3595,34.652,2,2.16136,1,1.92821,1,2.52665
,,,3,0.679878,0.218821,2.11239,0.873646,0.755442,0.63501,2.05806e+07,1.1588e+08,46.4577,32.3417,3,1.74178,1,3.38774,1,2.47956
,,,4,0.661399,0.207601,2.10716,0.829628,0.753305,0.623214,1.83975e+07,1.02666e+08,40.9588,35.8439,4,2.35236,2,20.5495,1,5.74156
,,,5,0.647809,0.191313,2.19356,0.796044,0.734595,0.61465,3.24125e+07,1.79523e+08,54.0718,41.8134,5,0.79399,2,3.69574,2,9.41197
,,,6,0.634244,0.26679,1.5078,0.900696,0.777197,0.586626,2.76267e+07,1.34242e+08,46.0168,38.6319,6,0.260537,2,5.79248,2,8.97397
,,,,,,,,,,,,,,,,2,5.7349,2,9.49047
