Filename,SegCellCount,NucleiCount,CellID,SumGolATG9,totATG9A,PearsonCoeff,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
ATG9-GolSeg_3Mar22v4_4022_000_A_NSW4022_TGN-488_ATG9A-647_B_60X_001.nd2,2,2,1,5.28485e+07,1.17922e+08,0.618389,0.644288,0.111552,3.7212,0.636391,0.896756,50.965,45.4472,1,1.2038,1,21.4735,0.557032,1665,1,1.30751,4.90047,2672
,,,2,3.84252e+07,1.17636e+08,0.62703,0.655687,0.123148,3.49113,0.67959,0.870612,50.6699,48.7957,2,0.726711,1,28.7558,0.0775614,1191,1,3.64029,0.733308,1498
,,,,,,,,,,,,,,,,1,26.2801,0.0211531,1070,1,1.59891,0.669848,1346
,,,,,,,,,,,,,,,,1,28.874,0.0282041,1095,1,5.53482,49.2092,3543
,,,,,,,,,,,,,,,,1,29.1402,0.225633,2034,1,6.09807,54.8923,3653
,,,,,,,,,,,,,,,,1,29.1394,0.260888,1766,2,5.03021,3.97678,3182
,,,,,,,,,,,,,,,,1,19.5624,0.126919,1667,2,0.953692,21.8935,3313
,,,,,,,,,,,,,,,,1,21.7349,0.00705104,1154,2,5.07893,0.00705104,867
,,,,,,,,,,,,,,,,1,18.591,0.105766,1230,2,0.878708,8.80674,3398
,,,,,,,,,,,,,,,,1,16.9051,0.13397,1418,2,1.02573,23.4235,3398
,,,,,,,,,,,,,,,,1,17.4701,0.00705104,874,2,2.81367,10.8233,3648
,,,,,,,,,,,,,,,,1,13.4299,0.0211531,1227,,,,
,,,,,,,,,,,,,,,,1,13.0809,0.155123,1550,,,,
,,,,,,,,,,,,,,,,1,19.8576,0.444215,1746,,,,
,,,,,,,,,,,,,,,,1,17.4015,0.119868,1331,,,,
,,,,,,,,,,,,,,,,1,18.8744,0.641644,1620,,,,
,,,,,,,,,,,,,,,,1,16.0984,0.782665,2979,,,,
,,,,,,,,,,,,,,,,1,21.8659,0.0141021,1095,,,,
,,,,,,,,,,,,,,,,1,14.7423,0.0282041,1178,,,,
,,,,,,,,,,,,,,,,1,15.2091,0.0141021,1259,,,,
,,,,,,,,,,,,,,,,1,14.5162,0.0775614,1082,,,,
,,,,,,,,,,,,,,,,1,16.2597,0.112817,1314,,,,
,,,,,,,,,,,,,,,,1,16.1109,0.105766,1276,,,,
,,,,,,,,,,,,,,,,1,13.6944,0.0423062,1094,,,,
,,,,,,,,,,,,,,,,1,15.9686,0.232684,1655,,,,
,,,,,,,,,,,,,,,,1,16.7315,0.0423062,1265,,,,
,,,,,,,,,,,,,,,,1,13.8468,0.282041,1792,,,,
,,,,,,,,,,,,,,,,1,15.4528,0.253837,2072,,,,
,,,,,,,,,,,,,,,,1,17.9319,0.0141021,1093,,,,
,,,,,,,,,,,,,,,,1,13.7694,0.0493572,1125,,,,
,,,,,,,,,,,,,,,,1,10.9443,0.0211531,1182,,,,
,,,,,,,,,,,,,,,,1,10.7638,0.211531,1865,,,,
,,,,,,,,,,,,,,,,1,13.5341,0.0141021,1057,,,,
,,,,,,,,,,,,,,,,1,19.6935,0.00705104,1084,,,,
,,,,,,,,,,,,,,,,1,13.898,0.437164,3653,,,,
,,,,,,,,,,,,,,,,1,15.3396,3.10951,3293,,,,
,,,,,,,,,,,,,,,,1,16.2859,2.0166,3341,,,,
,,,,,,,,,,,,,,,,1,8.86949,0.148072,1229,,,,
,,,,,,,,,,,,,,,,1,15.0547,0.239735,1845,,,,
,,,,,,,,,,,,,,,,1,11.3579,0.648695,2439,,,,
,,,,,,,,,,,,,,,,1,13.0496,0.401909,1741,,,,
,,,,,,,,,,,,,,,,1,14.7148,1.48072,3313,,,,
,,,,,,,,,,,,,,,,1,20.1351,1.17752,2805,,,,
,,,,,,,,,,,,,,,,1,18.2179,0.345501,1764,,,,
,,,,,,,,,,,,,,,,1,16.36,0.169225,1437,,,,
,,,,,,,,,,,,,,,,1,9.91813,0.0282041,1105,,,,
,,,,,,,,,,,,,,,,1,13.6384,0.0141021,1188,,,,
,,,,,,,,,,,,,,,,1,17.9672,0.00705104,1074,,,,
,,,,,,,,,,,,,,,,1,16.2112,0.190378,1301,,,,
,,,,,,,,,,,,,,,,1,14.8372,0.0211531,1339,,,,
,,,,,,,,,,,,,,,,1,16.8091,0.260888,1371,,,,
,,,,,,,,,,,,,,,,1,10.4795,0.112817,1565,,,,
,,,,,,,,,,,,,,,,1,15.5946,0.0634593,1241,,,,
,,,,,,,,,,,,,,,,1,19.1893,0.810869,2342,,,,
,,,,,,,,,,,,,,,,1,7.64443,0.0352552,1170,,,,
,,,,,,,,,,,,,,,,1,7.70321,1.27624,2763,,,,
,,,,,,,,,,,,,,,,1,14.2092,0.416011,1817,,,,
,,,,,,,,,,,,,,,,1,12.1197,0.0352552,1286,,,,
,,,,,,,,,,,,,,,,1,16.1472,0.0423062,1217,,,,
,,,,,,,,,,,,,,,,1,15.7515,2.98964,3293,,,,
,,,,,,,,,,,,,,,,1,15.8989,0.366654,1833,,,,
,,,,,,,,,,,,,,,,1,15.2233,0.0493572,1182,,,,
,,,,,,,,,,,,,,,,1,16.8342,0.00705104,856,,,,
,,,,,,,,,,,,,,,,1,12.238,0.0352552,1223,,,,
,,,,,,,,,,,,,,,,1,17.5024,0.0423062,1313,,,,
,,,,,,,,,,,,,,,,1,16.1874,0.0211531,908,,,,
,,,,,,,,,,,,,,,,1,13.9008,0.0141021,1232,,,,
,,,,,,,,,,,,,,,,1,14.473,0.0211531,1008,,,,
,,,,,,,,,,,,,,,,1,11.9376,0.0141021,1333,,,,
,,,,,,,,,,,,,,,,1,15.7601,0.267939,2064,,,,
,,,,,,,,,,,,,,,,1,12.5629,0.112817,1253,,,,
,,,,,,,,,,,,,,,,1,12.9881,0.0493572,1136,,,,
,,,,,,,,,,,,,,,,1,12.078,0.0423062,1219,,,,
,,,,,,,,,,,,,,,,1,9.50402,0.0141021,1157,,,,
,,,,,,,,,,,,,,,,1,13.6483,0.0634593,1241,,,,
,,,,,,,,,,,,,,,,1,12.6702,0.211531,1830,,,,
,,,,,,,,,,,,,,,,1,13.2426,0.232684,1905,,,,
,,,,,,,,,,,,,,,,1,10.0017,0.0705104,1230,,,,
,,,,,,,,,,,,,,,,1,12.7277,0.155123,1682,,,,
,,,,,,,,,,,,,,,,1,10.5028,0.296143,2101,,,,
,,,,,,,,,,,,,,,,1,9.06228,0.00705104,994,,,,
,,,,,,,,,,,,,,,,1,10.448,0.126919,1302,,,,
,,,,,,,,,,,,,,,,1,9.37582,0.0141021,1362,,,,
,,,,,,,,,,,,,,,,1,8.18711,0.00705104,1057,,,,
,,,,,,,,,,,,,,,,1,10.9893,0.246786,2059,,,,
,,,,,,,,,,,,,,,,1,10.3828,0.267939,1720,,,,
,,,,,,,,,,,,,,,,1,9.52862,0.13397,1316,,,,
,,,,,,,,,,,,,,,,1,8.48642,0.0634593,1813,,,,
