Filename,SegCellCount,NucleiCount,CellID,SumGolATG9,totATG9A,PearsonCoeff,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
ATG9-GolSeg_25Feb22v3_4020_000_A_NSW4020_TGN46-488_ATG9A-647_B_60X_001.nd2,4,4,1,1.99416e+07,8.65029e+07,0.540947,0.615758,0.124578,3.04354,0.653718,0.811819,47.4434,39.2569,1,0.116796,1,30.013,0.803818,2020,1,3.75656,1.43136,2379
,,,2,6.18709e+07,7.73763e+07,0.508453,0.57724,0.107684,3.09431,0.611127,0.792867,45.5475,35.8771,2,1.3867,1,28.5218,0.0141021,1288,1,3.44179,12.8681,3441
,,,3,3.04397e+07,1.08754e+08,0.486001,0.566857,0.0632678,5.07884,0.578821,0.793593,55.5997,31.7265,3,0.376277,1,27.8156,0.0916635,1253,1,7.68778,12.6707,3272
,,,4,1.35961e+07,9.52933e+07,0.580597,0.624395,0.132552,2.94125,0.658856,0.848917,47.7773,35.9224,4,0.381303,1,19.935,0.00705104,989,1,0.220596,0.0634593,1568
,,,,,,,,,,,,,,,,1,16.3125,0.310246,1458,1,3.7811,0.00705104,1017
,,,,,,,,,,,,,,,,1,19.0408,0.0705104,1059,1,2.10231,0.0916635,1376
,,,,,,,,,,,,,,,,1,17.6111,0.00705104,1154,1,3.72399,3.61013,3087
,,,,,,,,,,,,,,,,1,11.683,0.0141021,1390,1,2.0624,4.49856,3278
,,,,,,,,,,,,,,,,1,10.162,0.0987145,1267,1,0.936791,14.7578,3441
,,,,,,,,,,,,,,,,1,14.8656,0.112817,1517,1,2.51282,7.54461,3389
,,,,,,,,,,,,,,,,1,13.8837,1.7275,2121,1,1.89684,13.1925,3397
,,,,,,,,,,,,,,,,1,18.3927,0.267939,1722,1,6.32838,4.14601,3441
,,,,,,,,,,,,,,,,1,16.4508,0.0775614,1558,1,7.47129,1.48777,2824
,,,,,,,,,,,,,,,,1,11.6879,0.0564083,1026,2,9.27058,8.21446,3364
,,,,,,,,,,,,,,,,1,14.8807,0.00705104,876,2,4.57754,0.119868,1423
,,,,,,,,,,,,,,,,1,16.4162,0.119868,1247,2,6.47114,6.33888,3389
,,,,,,,,,,,,,,,,1,13.4251,0.00705104,1061,2,17.984,0.162174,1640
,,,,,,,,,,,,,,,,1,16.8479,0.0141021,1006,2,19.7761,4.39279,3228
,,,,,,,,,,,,,,,,1,11.414,0.169225,1304,2,18.9295,9.1875,3397
,,,,,,,,,,,,,,,,1,12.0727,0.0282041,1052,2,8.40344,3.52552,3218
,,,,,,,,,,,,,,,,1,21.9385,0.0846124,1499,2,4.50412,41.5094,3504
,,,,,,,,,,,,,,,,1,23.6345,0.0705104,1273,2,1.1316,0.126919,1290
,,,,,,,,,,,,,,,,1,4.1339,0.352552,1744,2,6.13161,0.0493572,1118
,,,,,,,,,,,,,,,,1,21.081,0.00705104,999,2,6.935,0.965992,3173
,,,,,,,,,,,,,,,,1,6.87498,0.0211531,1029,2,3.95785,1.3961,2921
,,,,,,,,,,,,,,,,1,11.0284,0.0141021,980,3,0.131563,105.928,3504
,,,,,,,,,,,,,,,,1,14.5834,0.0352552,1209,3,2.3256,0.239735,1322
,,,,,,,,,,,,,,,,1,13.5032,0.324348,2088,4,4.51812,6.24722,3290
,,,,,,,,,,,,,,,,1,9.60794,0.0493572,1122,4,0.161622,75.9467,3276
,,,,,,,,,,,,,,,,1,13.3749,0.0493572,1299,4,3.11212,4.47741,2868
,,,,,,,,,,,,,,,,1,17.4724,0.0987145,1170,4,1.41886,28.3522,3276
,,,,,,,,,,,,,,,,1,7.56975,0.126919,1481,4,5.6715,1.37495,2137
,,,,,,,,,,,,,,,,1,11.6775,0.246786,1697,4,4.84345,3.0813,3127
,,,,,,,,,,,,,,,,1,17.3033,0.190378,1644,4,5.09626,3.76525,3127
,,,,,,,,,,,,,,,,1,12.1993,0.232684,1468,4,6.48222,0.00705104,962
