Filename,SegCellCount,NucleiCount,CellID,SumGolATG9,totATG9A,PearsonCoeff,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
ATG9-GolSeg_11Feb22_4020_000_A_NSW4020_TGN46-488_ATG9A-647_B_60X_001.nd2,4,4,1,2.3201e+07,8.54884e+07,0.54301,0.617019,0.124923,3.04758,0.654052,0.812902,46.9669,39.4123,1,6.8046,1,30.3365,0.803818,2020,1,3.42238,1.43136,2379
,,,2,6.38071e+07,7.81861e+07,0.506761,0.576332,0.10737,3.0936,0.611115,0.792063,46.3105,35.7396,2,1.69124,1,28.8303,0.0141021,1288,1,2.89534,12.8681,3441
,,,3,2.1093e+06,1.08754e+08,0.486001,0.566857,0.0632678,5.07884,0.578821,0.793593,55.5998,31.7264,3,1.389,1,28.2237,0.0916635,1253,1,7.14469,12.6707,3272
,,,4,4.2231e+07,9.5198e+07,0.580429,0.624332,0.132588,2.93987,0.65898,0.848784,47.843,35.5987,4,1.46459,1,20.3119,0.00705104,989,1,0.131315,3.61013,3087
,,,,,,,,,,,,,,,,1,16.5369,0.310246,1458,1,1.84001,4.49856,3278
,,,,,,,,,,,,,,,,1,19.3599,0.0705104,1059,1,3.11228,14.7578,3441
,,,,,,,,,,,,,,,,1,17.9125,0.00705104,1154,1,1.53703,7.54461,3389
,,,,,,,,,,,,,,,,1,11.7113,0.0141021,1390,1,0.915488,13.1925,3397
,,,,,,,,,,,,,,,,1,10.0788,0.0987145,1267,1,7.07648,4.14601,3441
,,,,,,,,,,,,,,,,1,14.9873,0.112817,1517,2,9.07993,1.48777,2824
,,,,,,,,,,,,,,,,1,14.1341,1.7275,2121,2,4.53626,8.21446,3364
,,,,,,,,,,,,,,,,1,18.7739,0.267939,1722,2,6.22728,0.119868,1423
,,,,,,,,,,,,,,,,1,16.8329,0.0775614,1558,2,8.0753,6.33888,3389
,,,,,,,,,,,,,,,,1,11.4578,0.0564083,1026,2,4.18709,4.39279,3228
,,,,,,,,,,,,,,,,1,15.3179,0.00705104,876,2,1.063,9.1875,3397
,,,,,,,,,,,,,,,,1,16.894,0.119868,1247,2,5.80038,3.52552,3218
,,,,,,,,,,,,,,,,1,13.7044,0.00705104,1061,2,6.58241,41.5094,3504
,,,,,,,,,,,,,,,,1,17.2789,0.0141021,1006,2,3.73228,1.3961,2921
,,,,,,,,,,,,,,,,1,11.5304,0.169225,1304,3,0.131544,105.928,3504
,,,,,,,,,,,,,,,,1,12.4202,0.0282041,1052,4,4.43255,6.24722,3290
,,,,,,,,,,,,,,,,1,21.3334,0.0846124,1499,4,0.182027,75.9467,3276
,,,,,,,,,,,,,,,,1,23.0253,0.0705104,1273,4,3.04571,4.47741,2868
,,,,,,,,,,,,,,,,1,4.13938,0.352552,1744,4,1.30569,28.3522,3276
,,,,,,,,,,,,,,,,1,20.4906,0.00705104,999,4,4.6409,3.0813,3127
,,,,,,,,,,,,,,,,1,6.42395,0.0211531,1029,,,,
,,,,,,,,,,,,,,,,1,10.5401,0.0141021,980,,,,
,,,,,,,,,,,,,,,,1,15.0997,0.0352552,1209,,,,
,,,,,,,,,,,,,,,,1,14.0263,0.324348,2088,,,,
,,,,,,,,,,,,,,,,1,9.08322,0.0493572,1122,,,,
,,,,,,,,,,,,,,,,1,12.7874,0.0493572,1299,,,,
,,,,,,,,,,,,,,,,1,17.9913,0.0987145,1170,,,,
,,,,,,,,,,,,,,,,1,7.33141,0.126919,1481,,,,
,,,,,,,,,,,,,,,,1,11.1594,0.246786,1697,,,,
,,,,,,,,,,,,,,,,1,17.8634,0.190378,1644,,,,
,,,,,,,,,,,,,,,,1,11.6036,0.232684,1468,,,,
,,,,,,,,,,,,,,,,1,14.9234,0.00705104,874,,,,
,,,,,,,,,,,,,,,,1,15.7342,0.260888,1458,,,,
,,,,,,,,,,,,,,,,1,16.2123,0.0634593,1568,,,,
,,,,,,,,,,,,,,,,1,15.2079,0.0916635,1400,,,,
,,,,,,,,,,,,,,,,1,6.66746,0.0141021,1074,,,,
,,,,,,,,,,,,,,,,1,12.6189,0.719206,1843,,,,
,,,,,,,,,,,,,,,,1,15.3137,0.225633,1329,,,,
,,,,,,,,,,,,,,,,1,10.7613,0.148072,2287,,,,
,,,,,,,,,,,,,,,,1,12.2811,0.0282041,1087,,,,
,,,,,,,,,,,,,,,,1,11.5654,0.0211531,1051,,,,
,,,,,,,,,,,,,,,,1,4.85727,0.105766,1266,,,,
,,,,,,,,,,,,,,,,1,10.2625,0.0141021,1360,,,,
,,,,,,,,,,,,,,,,1,9.94185,0.0493572,1350,,,,
,,,,,,,,,,,,,,,,1,8.72657,0.00705104,1002,,,,
,,,,,,,,,,,,,,,,1,8.56629,0.00705104,1044,,,,
,,,,,,,,,,,,,,,,1,6.45205,0.0987145,1332,,,,
,,,,,,,,,,,,,,,,1,5.35368,0.0211531,996,,,,
,,,,,,,,,,,,,,,,1,4.40552,0.310246,1816,,,,
,,,,,,,,,,,,,,,,1,4.27174,0.00705104,1017,,,,
,,,,,,,,,,,,,,,,1,15.1391,0.0423062,1222,,,,
,,,,,,,,,,,,,,,,1,3.68518,0.0916635,1376,,,,
,,,,,,,,,,,,,,,,1,11.1197,0.0423062,1337,,,,
,,,,,,,,,,,,,,,,1,8.3639,0.267939,1675,,,,
,,,,,,,,,,,,,,,,1,12.3741,0.211531,1657,,,,
,,,,,,,,,,,,,,,,1,2.94488,0.00705104,1253,,,,
,,,,,,,,,,,,,,,,1,2.1534,0.0634593,1170,,,,
,,,,,,,,,,,,,,,,1,21.4061,0.155123,1584,,,,
,,,,,,,,,,,,,,,,1,16.8584,0.0141021,1208,,,,
,,,,,,,,,,,,,,,,1,6.53847,0.00705104,854,,,,
,,,,,,,,,,,,,,,,1,9.59831,0.0211531,1173,,,,
,,,,,,,,,,,,,,,,1,13.7626,0.260888,1840,,,,
,,,,,,,,,,,,,,,,1,19.5541,0.0916635,1315,,,,
,,,,,,,,,,,,,,,,1,16.631,0.0282041,1464,,,,
,,,,,,,,,,,,,,,,1,8.19874,0.0352552,1026,,,,
,,,,,,,,,,,,,,,,1,6.48803,0.486521,2432,,,,
,,,,,,,,,,,,,,,,1,17.7122,0.310246,1719,,,,
,,,,,,,,,,,,,,,,1,6.69265,2.26338,3441,,,,
,,,,,,,,,,,,,,,,1,19.7746,0.0775614,1514,,,,
,,,,,,,,,,,,,,,,1,17.6405,1.08586,2132,,,,
,,,,,,,,,,,,,,,,1,8.91861,0.874328,1602,,,,
,,,,,,,,,,,,,,,,1,0.892511,0.0141021,1136,,,,
,,,,,,,,,,,,,,,,1,1.0677,0.197429,1774,,,,
,,,,,,,,,,,,,,,,1,13.4565,0.451266,1705,,,,
,,,,,,,,,,,,,,,,1,10.5466,0.0705104,1326,,,,
,,,,,,,,,,,,,,,,1,9.12198,1.51597,2037,,,,
,,,,,,,,,,,,,,,,1,3.11366,0.606389,2337,,,,
,,,,,,,,,,,,,,,,1,1.6492,0.352552,1780,,,,
,,,,,,,,,,,,,,,,1,10.0036,1.72045,2630,,,,
,,,,,,,,,,,,,,,,1,2.2702,0.331399,1648,,,,
,,,,,,,,,,,,,,,,1,10.5951,0.0916635,1582,,,,
,,,,,,,,,,,,,,,,1,5.61857,0.61344,1669,,,,
,,,,,,,,,,,,,,,,1,2.36495,0.232684,1545,,,,
,,,,,,,,,,,,,,,,1,3.37146,1.86852,2768,,,,
,,,,,,,,,,,,,,,,1,1.72752,0.0916635,1343,,,,
,,,,,,,,,,,,,,,,1,6.01296,1.09996,1777,,,,
,,,,,,,,,,,,,,,,1,4.88077,1.02945,1733,,,,
,,,,,,,,,,,,,,,,1,13.1832,0.324348,1878,,,,
,,,,,,,,,,,,,,,,1,7.2876,0.162174,1920,,,,
,,,,,,,,,,,,,,,,1,5.32622,0.0141021,985,,,,
,,,,,,,,,,,,,,,,1,7.51433,0.430113,2621,,,,
,,,,,,,,,,,,,,,,1,6.48503,0.169225,1366,,,,
,,,,,,,,,,,,,,,,1,6.20402,0.726257,1713,,,,
,,,,,,,,,,,,,,,,1,15.1243,0.0564083,1358,,,,
,,,,,,,,,,,,,,,,1,22.3027,0.359603,1630,,,,
,,,,,,,,,,,,,,,,1,21.0873,0.740359,1865,,,,
,,,,,,,,,,,,,,,,1,15.5713,0.0987145,1389,,,,
,,,,,,,,,,,,,,,,1,7.87533,0.0564083,1033,,,,
,,,,,,,,,,,,,,,,1,4.08774,0.141021,1313,,,,
,,,,,,,,,,,,,,,,1,19.0986,0.0141021,1078,,,,
,,,,,,,,,,,,,,,,1,7.66071,0.00705104,1156,,,,
,,,,,,,,,,,,,,,,1,15.0424,0.239735,1347,,,,
,,,,,,,,,,,,,,,,1,17.6303,0.0916635,1303,,,,
,,,,,,,,,,,,,,,,1,9.28163,0.0846124,1378,,,,
,,,,,,,,,,,,,,,,1,9.08423,0.0564083,1337,,,,
,,,,,,,,,,,,,,,,1,8.71363,0.0634593,1339,,,,
,,,,,,,,,,,,,,,,1,19.9556,0.0423062,1303,,,,
,,,,,,,,,,,,,,,,1,9.97943,0.00705104,1309,,,,
,,,,,,,,,,,,,,,,1,20.7774,0.00705104,870,,,,
,,,,,,,,,,,,,,,,1,21.1881,1.14227,2043,,,,
,,,,,,,,,,,,,,,,1,14.2608,0.00705104,912,,,,
,,,,,,,,,,,,,,,,1,5.99381,0.119868,1275,,,,
,,,,,,,,,,,,,,,,1,18.8209,0.0352552,1397,,,,
,,,,,,,,,,,,,,,,1,16.2001,1.45251,1521,,,,
,,,,,,,,,,,,,,,,1,8.43096,2.33389,2035,,,,
,,,,,,,,,,,,,,,,1,12.2311,0.0634593,1425,,,,
,,,,,,,,,,,,,,,,1,20.9229,0.0564083,1218,,,,
,,,,,,,,,,,,,,,,1,23.4418,0.824971,1571,,,,
,,,,,,,,,,,,,,,,1,14.6555,0.0211531,1002,,,,
,,,,,,,,,,,,,,,,1,12.3755,0.13397,1612,,,,
,,,,,,,,,,,,,,,,1,11.2378,0.0423062,1212,,,,
,,,,,,,,,,,,,,,,1,7.2029,0.0141021,1022,,,,
,,,,,,,,,,,,,,,,1,14.794,0.119868,1436,,,,
,,,,,,,,,,,,,,,,1,10.0721,0.218582,1751,,,,
,,,,,,,,,,,,,,,,1,17.9944,0.105766,1241,,,,
,,,,,,,,,,,,,,,,1,16.3261,0.0141021,1079,,,,
,,,,,,,,,,,,,,,,1,10.8075,0.0141021,994,,,,
,,,,,,,,,,,,,,,,1,18.7883,0.105766,1268,,,,
,,,,,,,,,,,,,,,,1,17.7474,0.0634593,1183,,,,
,,,,,,,,,,,,,,,,1,16.7629,0.112817,1542,,,,
,,,,,,,,,,,,,,,,1,19.0801,0.00705104,875,,,,
,,,,,,,,,,,,,,,,1,10.5036,0.00705104,902,,,,
,,,,,,,,,,,,,,,,1,8.38312,0.775614,2297,,,,
,,,,,,,,,,,,,,,,1,19.1474,0.00705104,989,,,,
,,,,,,,,,,,,,,,,1,9.27382,0.937788,2007,,,,
,,,,,,,,,,,,,,,,1,18.753,0.169225,1524,,,,
,,,,,,,,,,,,,,,,1,20.3146,0.126919,1342,,,,
,,,,,,,,,,,,,,,,1,18.6153,0.0423062,1108,,,,
,,,,,,,,,,,,,,,,1,14.9783,0.0564083,1297,,,,
,,,,,,,,,,,,,,,,1,18.5555,0.0352552,1056,,,,
,,,,,,,,,,,,,,,,1,17.1098,0.0141021,1039,,,,
,,,,,,,,,,,,,,,,1,13.721,0.112817,1343,,,,
,,,,,,,,,,,,,,,,1,13.9753,0.0141021,910,,,,
,,,,,,,,,,,,,,,,1,4.89604,0.00705104,930,,,,
,,,,,,,,,,,,,,,,1,16.8491,0.0634593,1150,,,,
,,,,,,,,,,,,,,,,1,2.90914,0.0141021,1220,,,,
,,,,,,,,,,,,,,,,1,12.9497,0.0352552,1209,,,,
,,,,,,,,,,,,,,,,1,13.7628,0.0423062,1180,,,,
,,,,,,,,,,,,,,,,1,5.02158,0.00705104,1131,,,,
,,,,,,,,,,,,,,,,1,4.135,0.0141021,972,,,,
,,,,,,,,,,,,,,,,1,8.21741,0.0141021,1123,,,,
,,,,,,,,,,,,,,,,1,8.5924,0.0141021,976,,,,
,,,,,,,,,,,,,,,,1,6.8168,0.0493572,1595,,,,
,,,,,,,,,,,,,,,,1,11.1219,0.00705104,1152,,,,
,,,,,,,,,,,,,,,,1,4.28868,0.0987145,1346,,,,
,,,,,,,,,,,,,,,,1,4.18679,0.0141021,942,,,,
,,,,,,,,,,,,,,,,1,5.7093,0.0846124,1327,,,,
,,,,,,,,,,,,,,,,1,8.82151,0.0634593,1491,,,,
,,,,,,,,,,,,,,,,1,6.35245,0.0846124,1732,,,,
,,,,,,,,,,,,,,,,1,15.6674,0.00705104,1133,,,,
,,,,,,,,,,,,,,,,1,17.8622,0.197429,1590,,,,
,,,,,,,,,,,,,,,,1,23.9235,0.211531,1510,,,,
,,,,,,,,,,,,,,,,1,17.8147,0.0987145,1384,,,,
,,,,,,,,,,,,,,,,1,20.319,0.846124,2217,,,,
,,,,,,,,,,,,,,,,1,12.208,0.00705104,1121,,,,
,,,,,,,,,,,,,,,,1,17.9011,0.0282041,1248,,,,
,,,,,,,,,,,,,,,,1,17.9841,0.162174,1640,,,,
,,,,,,,,,,,,,,,,1,17.6098,0.719206,2376,,,,
,,,,,,,,,,,,,,,,1,12.9801,0.465368,2082,,,,
,,,,,,,,,,,,,,,,1,24.563,0.0705104,1577,,,,
,,,,,,,,,,,,,,,,1,15.8276,0.0141021,1227,,,,
,,,,,,,,,,,,,,,,1,24.5739,0.162174,1708,,,,
,,,,,,,,,,,,,,,,1,13.926,0.260888,1490,,,,
,,,,,,,,,,,,,,,,1,14.8511,0.0141021,1039,,,,
,,,,,,,,,,,,,,,,1,10.5028,0.126919,1290,,,,
,,,,,,,,,,,,,,,,1,16.8518,0.0493572,1118,,,,
,,,,,,,,,,,,,,,,1,15.7899,1.79801,2110,,,,
,,,,,,,,,,,,,,,,1,16.5564,0.169225,1327,,,,
,,,,,,,,,,,,,,,,1,18.0242,0.211531,1584,,,,
,,,,,,,,,,,,,,,,1,15.2449,0.0352552,955,,,,
,,,,,,,,,,,,,,,,1,12.1555,1.74866,2163,,,,
,,,,,,,,,,,,,,,,1,14.3342,0.606389,1834,,,,
,,,,,,,,,,,,,,,,1,11.4176,0.176276,1474,,,,
,,,,,,,,,,,,,,,,1,12.062,0.105766,1185,,,,
,,,,,,,,,,,,,,,,1,22.3209,1.01535,1803,,,,
,,,,,,,,,,,,,,,,1,12.6211,0.141021,1349,,,,
,,,,,,,,,,,,,,,,1,15.0657,0.0987145,1361,,,,
,,,,,,,,,,,,,,,,1,15.6943,1.6711,2308,,,,
,,,,,,,,,,,,,,,,1,14.0471,0.239735,1567,,,,
,,,,,,,,,,,,,,,,1,14.0368,0.211531,1279,,,,
,,,,,,,,,,,,,,,,1,14.5853,0.282041,1569,,,,
,,,,,,,,,,,,,,,,1,13.7168,0.0846124,1396,,,,
,,,,,,,,,,,,,,,,1,21.9408,0.0423062,1166,,,,
,,,,,,,,,,,,,,,,1,15.1354,0.366654,1440,,,,
,,,,,,,,,,,,,,,,1,13.599,0.0211531,1140,,,,
,,,,,,,,,,,,,,,,1,11.2963,0.303195,1443,,,,
,,,,,,,,,,,,,,,,1,19.6586,1.98134,1882,,,,
,,,,,,,,,,,,,,,,1,11.5571,0.0423062,1269,,,,
,,,,,,,,,,,,,,,,1,13.7376,0.0987145,1178,,,,
,,,,,,,,,,,,,,,,1,19.0796,0.303195,1491,,,,
,,,,,,,,,,,,,,,,1,23.3175,0.155123,1271,,,,
,,,,,,,,,,,,,,,,1,15.9837,0.0141021,901,,,,
,,,,,,,,,,,,,,,,1,12.755,0.00705104,1110,,,,
,,,,,,,,,,,,,,,,1,23,0.0705104,1479,,,,
,,,,,,,,,,,,,,,,1,23.4137,0.0282041,1016,,,,
,,,,,,,,,,,,,,,,1,12.741,0.00705104,1067,,,,
,,,,,,,,,,,,,,,,1,19.2878,0.0423062,1311,,,,
,,,,,,,,,,,,,,,,1,20.2197,0.00705104,1030,,,,
,,,,,,,,,,,,,,,,1,18.6394,0.0705104,1061,,,,
,,,,,,,,,,,,,,,,1,19.8958,0.00705104,1000,,,,
,,,,,,,,,,,,,,,,1,20.3359,0.0282041,1033,,,,
,,,,,,,,,,,,,,,,1,12.0257,0.218582,1417,,,,
,,,,,,,,,,,,,,,,1,17.8492,0.0493572,1239,,,,
,,,,,,,,,,,,,,,,1,9.68904,0.112817,1384,,,,
,,,,,,,,,,,,,,,,1,16.972,0.0352552,1276,,,,
,,,,,,,,,,,,,,,,1,15.6658,1.54418,2190,,,,
,,,,,,,,,,,,,,,,1,9.16946,0.0352552,1268,,,,
,,,,,,,,,,,,,,,,1,12.6617,0.33845,1490,,,,
,,,,,,,,,,,,,,,,1,14.1062,0.00705104,1049,,,,
,,,,,,,,,,,,,,,,1,15.0192,0.0987145,1262,,,,
,,,,,,,,,,,,,,,,1,16.1968,0.0705104,1142,,,,
,,,,,,,,,,,,,,,,1,15.979,0.00705104,963,,,,
,,,,,,,,,,,,,,,,1,18.357,0.416011,1720,,,,
,,,,,,,,,,,,,,,,1,15.9102,0.0705104,1016,,,,
,,,,,,,,,,,,,,,,1,18.3393,0.00705104,1157,,,,
,,,,,,,,,,,,,,,,1,13.7768,0.0987145,1609,,,,
,,,,,,,,,,,,,,,,1,15.6925,0.105766,1514,,,,
,,,,,,,,,,,,,,,,1,14.9788,0.0775614,1152,,,,
,,,,,,,,,,,,,,,,1,15.4611,0.13397,1466,,,,
,,,,,,,,,,,,,,,,1,15.2806,0.0987145,1257,,,,
,,,,,,,,,,,,,,,,1,15.867,0.0564083,1299,,,,
,,,,,,,,,,,,,,,,1,15.5241,0.33845,2121,,,,
,,,,,,,,,,,,,,,,1,17.9773,0.345501,1770,,,,
,,,,,,,,,,,,,,,,1,17.5396,0.00705104,861,,,,
,,,,,,,,,,,,,,,,1,13.9745,0.197429,1626,,,,
,,,,,,,,,,,,,,,,1,13.7074,0.0705104,1257,,,,
,,,,,,,,,,,,,,,,1,17.6856,0.352552,1613,,,,
,,,,,,,,,,,,,,,,1,15.1219,1.09291,1506,,,,
,,,,,,,,,,,,,,,,1,18.7284,0.119868,1329,,,,
,,,,,,,,,,,,,,,,1,14.7309,0.112817,1552,,,,
,,,,,,,,,,,,,,,,1,15.8155,0.126919,1196,,,,
,,,,,,,,,,,,,,,,1,18.7546,0.119868,1423,,,,
,,,,,,,,,,,,,,,,2,23.7243,0.0423062,1288,,,,
,,,,,,,,,,,,,,,,2,23.6713,0.0211531,1144,,,,
,,,,,,,,,,,,,,,,2,19.7171,0.00705104,1071,,,,
,,,,,,,,,,,,,,,,2,25.6827,0.486521,2042,,,,
,,,,,,,,,,,,,,,,2,14.3721,0.0282041,906,,,,
,,,,,,,,,,,,,,,,2,22.2714,0.148072,1569,,,,
,,,,,,,,,,,,,,,,2,20.007,0.0141021,1182,,,,
,,,,,,,,,,,,,,,,2,12.9072,0.00705104,908,,,,
,,,,,,,,,,,,,,,,2,15.0429,0.190378,1260,,,,
,,,,,,,,,,,,,,,,2,22.713,1.74161,3414,,,,
,,,,,,,,,,,,,,,,2,10.4743,1.57238,2689,,,,
,,,,,,,,,,,,,,,,2,11.0905,0.0987145,1246,,,,
,,,,,,,,,,,,,,,,2,24.9682,0.965992,3173,,,,
,,,,,,,,,,,,,,,,2,14.4335,0.246786,1549,,,,
,,,,,,,,,,,,,,,,2,27.3228,1.16342,2495,,,,
,,,,,,,,,,,,,,,,2,20.2411,0.486521,1540,,,,
,,,,,,,,,,,,,,,,2,19.4503,0.211531,1943,,,,
,,,,,,,,,,,,,,,,2,16.4579,0.267939,1688,,,,
,,,,,,,,,,,,,,,,2,26.5135,0.105766,1333,,,,
,,,,,,,,,,,,,,,,2,15.4029,0.126919,1453,,,,
,,,,,,,,,,,,,,,,2,11.9352,0.260888,1809,,,,
,,,,,,,,,,,,,,,,2,13.4971,0.310246,2030,,,,
,,,,,,,,,,,,,,,,2,7.6808,0.155123,1354,,,,
,,,,,,,,,,,,,,,,2,18.2595,0.0705104,1628,,,,
,,,,,,,,,,,,,,,,2,16.9068,1.63584,2181,,,,
,,,,,,,,,,,,,,,,2,26.5295,0.211531,1879,,,,
,,,,,,,,,,,,,,,,2,16.4798,0.00705104,1093,,,,
,,,,,,,,,,,,,,,,2,9.37298,1.12111,2801,,,,
,,,,,,,,,,,,,,,,2,13.2732,1.3397,2914,,,,
,,,,,,,,,,,,,,,,2,15.5491,0.0141021,1111,,,,
,,,,,,,,,,,,,,,,2,14.587,0.282041,1667,,,,
,,,,,,,,,,,,,,,,2,14.8588,0.0775614,1316,,,,
,,,,,,,,,,,,,,,,2,18.0518,0.176276,1624,,,,
,,,,,,,,,,,,,,,,2,11.65,0.33845,2168,,,,
,,,,,,,,,,,,,,,,2,13.4435,0.13397,1434,,,,
,,,,,,,,,,,,,,,,2,17.6627,0.239735,1634,,,,
,,,,,,,,,,,,,,,,2,15.4848,0.0352552,1306,,,,
,,,,,,,,,,,,,,,,2,14.533,0.0705104,1332,,,,
,,,,,,,,,,,,,,,,2,10.3114,0.0493572,1103,,,,
,,,,,,,,,,,,,,,,2,20.0574,0.0493572,1313,,,,
,,,,,,,,,,,,,,,,2,9.53883,0.0282041,1203,,,,
,,,,,,,,,,,,,,,,2,19.2117,0.148072,1652,,,,
,,,,,,,,,,,,,,,,2,14.0882,0.197429,1541,,,,
,,,,,,,,,,,,,,,,2,8.60475,0.0352552,1102,,,,
,,,,,,,,,,,,,,,,2,11.4928,0.13397,1465,,,,
,,,,,,,,,,,,,,,,2,12.7557,0.0141021,1052,,,,
,,,,,,,,,,,,,,,,2,7.8194,0.0916635,1287,,,,
,,,,,,,,,,,,,,,,2,19.4132,0.0141021,1067,,,,
,,,,,,,,,,,,,,,,2,9.8304,0.141021,1377,,,,
,,,,,,,,,,,,,,,,2,12.3609,0.126919,1711,,,,
,,,,,,,,,,,,,,,,2,21.3285,0.352552,1478,,,,
,,,,,,,,,,,,,,,,2,14.9249,0.00705104,868,,,,
,,,,,,,,,,,,,,,,2,17.8318,0.00705104,1003,,,,
,,,,,,,,,,,,,,,,2,2.70311,0.169225,1583,,,,
,,,,,,,,,,,,,,,,2,11.6746,0.0141021,1193,,,,
,,,,,,,,,,,,,,,,2,9.13146,0.162174,1571,,,,
,,,,,,,,,,,,,,,,2,21.7382,0.00705104,1012,,,,
,,,,,,,,,,,,,,,,2,13.4842,0.0846124,1322,,,,
,,,,,,,,,,,,,,,,2,17.9176,0.0493572,1254,,,,
,,,,,,,,,,,,,,,,2,16.6073,0.0211531,955,,,,
,,,,,,,,,,,,,,,,2,4.15396,0.0564083,1377,,,,
,,,,,,,,,,,,,,,,2,19.4579,0.0352552,1062,,,,
,,,,,,,,,,,,,,,,2,12.3246,0.119868,1350,,,,
,,,,,,,,,,,,,,,,2,10.4467,0.366654,1597,,,,
,,,,,,,,,,,,,,,,2,20.9252,0.105766,1174,,,,
,,,,,,,,,,,,,,,,2,17.7917,0.00705104,1019,,,,
,,,,,,,,,,,,,,,,2,12.7345,0.0211531,962,,,,
,,,,,,,,,,,,,,,,2,3.05375,0.0211531,962,,,,
,,,,,,,,,,,,,,,,2,4.31335,0.0141021,1071,,,,
,,,,,,,,,,,,,,,,2,5.63637,1.20573,2730,,,,
,,,,,,,,,,,,,,,,2,15.3967,0.578185,1750,,,,
,,,,,,,,,,,,,,,,2,15.0715,0.00705104,1012,,,,
,,,,,,,,,,,,,,,,2,11.7497,1.17752,2433,,,,
,,,,,,,,,,,,,,,,2,21.4357,0.592287,1484,,,,
,,,,,,,,,,,,,,,,2,18.6511,0.0634593,1382,,,,
,,,,,,,,,,,,,,,,2,7.38396,0.00705104,1248,,,,
,,,,,,,,,,,,,,,,2,13.7402,0.0493572,1631,,,,
,,,,,,,,,,,,,,,,2,14.6288,0.0423062,1169,,,,
,,,,,,,,,,,,,,,,2,8.01807,0.0282041,1104,,,,
,,,,,,,,,,,,,,,,2,21.0268,0.119868,1432,,,,
,,,,,,,,,,,,,,,,2,12.5502,0.0141021,1019,,,,
,,,,,,,,,,,,,,,,2,14.3941,0.0211531,954,,,,
,,,,,,,,,,,,,,,,2,5.40019,1.09291,2568,,,,
,,,,,,,,,,,,,,,,2,7.53024,1.13522,2455,,,,
,,,,,,,,,,,,,,,,2,7.68499,0.0564083,1296,,,,
,,,,,,,,,,,,,,,,2,15.9828,0.521777,1562,,,,
,,,,,,,,,,,,,,,,2,11.5687,0.0211531,1160,,,,
,,,,,,,,,,,,,,,,2,13.3519,0.20448,2258,,,,
,,,,,,,,,,,,,,,,2,5.23734,0.183327,1632,,,,
,,,,,,,,,,,,,,,,2,16.1199,0.00705104,992,,,,
,,,,,,,,,,,,,,,,2,18.1751,0.176276,1355,,,,
,,,,,,,,,,,,,,,,2,10.9096,0.141021,1442,,,,
,,,,,,,,,,,,,,,,2,6.27854,0.0282041,1242,,,,
,,,,,,,,,,,,,,,,2,12.9209,0.0705104,1347,,,,
,,,,,,,,,,,,,,,,2,14.884,0.119868,1492,,,,
,,,,,,,,,,,,,,,,2,11.5827,0.0141021,858,,,,
,,,,,,,,,,,,,,,,2,16.3722,0.0211531,1136,,,,
,,,,,,,,,,,,,,,,2,16.0723,0.155123,1263,,,,
