Filename,SegCellCount,NucleiCount,CellID,SumGolATG9,totATG9A,PearsonCoeff,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
ATG9-GolSeg_3Mar22v6_4026_000_A_NSW4026_TGN-488_ATG9A-647_B_60X_001_crop.nd2,2,2,1,2.90564e+06,3.43115e+07,0.52694,0.598779,0.236027,1.51905,0.671262,0.965584,63.5324,30.2477,1,1.37587,1,26.4866,0.282041,775,1,8.29471,0.13397,696
,,,2,3.88121e+06,3.73412e+07,0.53988,0.605432,0.237714,1.54197,0.672905,0.964316,54.5192,41.6871,2,1.30587,1,25.9042,0.0846124,709,1,6.81741,0.366654,1045
,,,,,,,,,,,,,,,,1,28.3338,0.0564083,651,1,6.91574,0.0987145,577
,,,,,,,,,,,,,,,,1,22.486,0.0493572,630,1,6.51576,1.98839,1027
,,,,,,,,,,,,,,,,1,20.9236,0.00705104,481,1,2.52857,1.32559,1056
,,,,,,,,,,,,,,,,1,18.0679,0.00705104,493,1,4.32262,0.0493572,660
,,,,,,,,,,,,,,,,1,14.2773,0.00705104,462,1,7.07205,0.740359,1086
,,,,,,,,,,,,,,,,1,13.8433,0.0987145,680,1,6.72096,0.634593,1039
,,,,,,,,,,,,,,,,1,13.4338,0.0423062,586,1,2.61669,2.11531,1431
,,,,,,,,,,,,,,,,1,12.406,0.225633,1087,1,5.43774,0.803818,1210
,,,,,,,,,,,,,,,,1,11.5317,0.00705104,575,1,2.5406,1.29739,992
,,,,,,,,,,,,,,,,1,9.70048,0.00705104,467,1,2.96023,1.25508,1542
,,,,,,,,,,,,,,,,1,10.5028,0.00705104,556,1,3.67548,0.472419,780
,,,,,,,,,,,,,,,,1,13.5833,0.197429,957,1,3.88688,0.521777,886
,,,,,,,,,,,,,,,,1,7.69226,0.0282041,564,1,1.231,1.42431,948
,,,,,,,,,,,,,,,,1,6.5289,0.345501,991,1,2.32671,0.437164,722
,,,,,,,,,,,,,,,,1,8.45189,0.183327,840,1,3.91125,0.13397,803
,,,,,,,,,,,,,,,,1,5.79597,0.0775614,605,1,2.08236,0.141021,751
,,,,,,,,,,,,,,,,1,11.4651,0.119868,628,1,8.3656,0.0916635,650
,,,,,,,,,,,,,,,,1,6.92171,0.0916635,603,1,7.42487,1.12817,900
,,,,,,,,,,,,,,,,1,6.67463,0.451266,963,1,5.42912,0.641644,910
,,,,,,,,,,,,,,,,1,9.74464,0.0211531,553,1,5.13139,0.500623,940
,,,,,,,,,,,,,,,,1,13.6461,0.13397,659,1,6.20146,0.289092,729
,,,,,,,,,,,,,,,,1,1.95283,0.0775614,612,1,3.29651,0.423062,695
,,,,,,,,,,,,,,,,1,8.18021,0.13397,670,1,2.93655,0.68395,979
,,,,,,,,,,,,,,,,1,2.02034,0.0846124,680,1,3.35175,1.09996,1291
,,,,,,,,,,,,,,,,1,10.2129,0.00705104,523,1,2.18386,0.401909,1009
,,,,,,,,,,,,,,,,1,6.96674,0.119868,670,1,6.63991,1.21983,806
,,,,,,,,,,,,,,,,1,6.30945,0.00705104,527,1,6.92257,1.45251,915
,,,,,,,,,,,,,,,,1,1.86007,0.0352552,543,1,8.73483,0.796767,791
,,,,,,,,,,,,,,,,1,4.17649,0.507675,1239,1,5.24946,0.211531,819
,,,,,,,,,,,,,,,,1,6.26971,0.176276,732,1,6.75442,0.176276,708
,,,,,,,,,,,,,,,,1,6.23912,0.0282041,620,1,8.32271,0.394858,744
,,,,,,,,,,,,,,,,1,2.88802,0.0634593,603,1,7.96976,0.218582,717
,,,,,,,,,,,,,,,,1,13.064,0.225633,854,1,32.0356,2.44671,1247
,,,,,,,,,,,,,,,,1,5.42016,0.0916635,654,2,7.89087,2.03775,1063
,,,,,,,,,,,,,,,,1,9.70846,0.00705104,500,2,6.01171,0.0705104,593
,,,,,,,,,,,,,,,,1,7.07462,0.00705104,500,2,5.82322,0.486521,992
,,,,,,,,,,,,,,,,1,6.68506,0.0987145,713,2,9.29936,1.20573,939
,,,,,,,,,,,,,,,,1,11.3694,0.0634593,568,2,4.89552,0.126919,715
,,,,,,,,,,,,,,,,1,7.81182,0.0493572,613,2,5.26221,0.549981,1110
,,,,,,,,,,,,,,,,1,16.3261,0.0282041,586,2,9.92971,0.47947,708
,,,,,,,,,,,,,,,,1,14.8926,0.197429,626,2,7.79561,3.93448,1101
,,,,,,,,,,,,,,,,1,17.7685,0.148072,673,2,5.30387,2.55953,1089
,,,,,,,,,,,,,,,,1,24.5057,0.712155,799,2,8.07921,0.0493572,630
,,,,,,,,,,,,,,,,1,21.3424,0.0141021,546,2,8.09181,0.980094,1017
,,,,,,,,,,,,,,,,1,26.5081,0.0916635,695,2,3.75701,2.19287,1141
,,,,,,,,,,,,,,,,1,25.1259,0.0846124,651,2,4.98713,1.17047,978
,,,,,,,,,,,,,,,,1,29.0507,0.00705104,468,2,10.2791,1.98839,1069
