Filename,NucleiCount,CellID,SumGolATG9,totATG9A
ATG9-GolSeg_6Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_012_crop.nd2,2,1,2.55774e+06,1.71368e+08
,,2,8.02603e+06,1.86428e+08
ATG9-GolSeg_6Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_013_crop.nd2,2,1,4.65409e+06,1.20514e+08
,,2,35397,1.46657e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_001.nd2,4,1,1.4508e+06,1.25685e+08
,,2,5.63197e+06,1.61715e+08
,,3,3.02755e+06,1.33988e+08
,,4,3.37183e+06,1.92229e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_002_crop.nd2,4,1,5.55275e+06,9.94854e+07
,,2,6.64821e+06,1.18592e+08
,,3,9.15868e+06,1.15262e+08
,,4,6.7683e+06,9.69513e+07
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_003_crop.nd2,4,1,6.73361e+06,1.06811e+08
,,2,5.21482e+06,9.48552e+07
,,3,4.53085e+06,7.94413e+07
,,4,5.51431e+06,1.0039e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_004_crop.nd2,4,1,3.46531e+06,1.02231e+08
,,2,1.03947e+07,7.30521e+07
,,3,5.14367e+06,8.50447e+07
,,4,5.5506e+06,8.09304e+07
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_005_crop.nd2,6,1,802533,9.85065e+07
,,2,1.37361e+06,1.1482e+08
,,3,6.35276e+06,9.56768e+07
,,4,3.00563e+06,1.0112e+08
,,5,1.31048e+06,1.08123e+08
,,6,2.28796e+06,1.10689e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_006.nd2,4,1,4.76016e+06,1.50683e+08
,,2,2.33571e+06,1.95175e+08
,,3,1.33134e+06,1.55967e+08
,,4,243906,1.78407e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_007_crop.nd2,4,1,2.17113e+06,9.2793e+07
,,2,3.39948e+06,9.6709e+07
,,3,1.07557e+06,9.8525e+07
,,4,2.11048e+06,1.00059e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_008.nd2,8,1,652811,1.16836e+08
,,2,4.17975e+06,1.0931e+08
,,3,155030,5.3769e+07
,,4,580128,8.82686e+07
,,5,1.22174e+06,6.43613e+07
,,6,1.70615e+06,9.77362e+07
,,7,772952,9.34883e+07
,,8,433061,1.17404e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_009_crop.nd2,4,1,1.97534e+06,1.11563e+08
,,2,1.96555e+06,8.3551e+07
,,3,1.69583e+06,1.23486e+08
,,4,2.15847e+06,1.01327e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_010.nd2,4,1,5.03146e+06,2.25429e+08
,,2,3.32493e+06,2.81624e+08
,,3,2.81437e+06,1.46965e+08
,,4,3.86937e+06,2.17599e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_011.nd2,6,1,4.55283e+06,1.94168e+08
,,2,7.14439e+06,1.82079e+08
,,3,30580,9.74814e+07
,,4,3.08497e+06,8.58522e+07
,,5,796068,1.175e+08
,,6,3.52721e+06,1.76489e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_012.nd2,6,1,218863,1.0708e+08
,,2,5.32766e+06,1.76388e+08
,,3,4.87002e+06,2.00839e+08
,,4,1.32037e+07,1.63406e+08
,,5,3.5645e+06,1.7332e+08
,,6,948351,1.41078e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_014_crop.nd2,4,1,6.85396e+06,1.58556e+08
,,2,1.39388e+07,1.42338e+08
,,3,5.57784e+06,1.10083e+08
,,4,1.86338e+06,1.24832e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_015.nd2,7,1,2.04487e+06,1.19818e+08
,,2,2.78852e+06,1.74111e+08
,,3,5.87165e+06,1.11251e+08
,,4,1.26601e+06,1.54894e+08
,,5,1.21909e+07,1.16144e+08
,,6,1.93294e+06,1.0829e+08
,,7,6.91943e+06,2.36192e+08
ATG9-GolSeg_6Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_016.nd2,6,1,92619,1.32077e+08
,,2,2.91766e+07,1.21738e+08
,,3,3.48975e+07,1.55047e+08
,,4,6.70664e+06,1.48864e+08
,,5,1.06873e+06,1.22908e+08
,,6,6.43367e+06,2.20916e+08
