Filename,NucleiCount,CellID,SumGolATG9,totATG9A,PearsonCoeff
ATG9-GolSeg_13Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_010.nd2,6,1,8.468e+06,2.06527e+08,0.705262
,,2,1.65663e+06,1.41045e+08,0.704147
,,3,7.23637e+06,1.43725e+08,0.709294
,,4,5.51426e+06,7.43252e+07,0.63998
,,5,3.39057e+06,8.66013e+07,0.641437
,,6,1.71781e+06,1.27644e+08,0.668185
ATG9-GolSeg_13Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_011_crop.nd2,6,1,1.05911e+07,1.13338e+08,0.719055
,,2,1.12633e+07,1.02589e+08,0.680509
,,3,1.48432e+07,1.17865e+08,0.713009
,,4,2.43473e+06,1.11094e+08,0.693949
,,5,5.69531e+06,1.24587e+08,0.611693
,,6,3.10554e+06,1.18156e+08,0.558649
ATG9-GolSeg_13Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_012.nd2,4,1,5.93215e+06,1.3592e+08,0.637425
,,2,151974,1.82108e+08,0.66816
,,3,1.39585e+06,2.27302e+08,0.636221
,,4,5.17238e+06,1.13269e+08,0.725413
ATG9-GolSeg_13Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_013.nd2,6,1,1.87564e+07,2.21913e+08,0.730231
,,2,1.21377e+07,2.29738e+08,0.722968
,,3,1.34898e+07,1.0616e+08,0.692504
,,4,377360,1.05235e+08,0.73379
,,5,4.37826e+06,1.39692e+08,0.699322
,,6,1.95296e+06,1.12393e+08,0.716351
ATG9-GolSeg_13Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_014_crop.nd2,2,1,2.01272e+07,1.36039e+08,0.666234
,,2,320623,1.22597e+08,0.6799
ATG9-GolSeg_13Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_015.nd2,6,1,3.42797e+06,2.84216e+08,0.578622
,,2,2.8142e+06,1.93292e+08,0.619362
,,3,5.54835e+06,1.4658e+08,0.659675
,,4,2.63455e+06,1.34203e+08,0.686585
,,5,3.56888e+06,1.63117e+08,0.627838
,,6,3.50368e+06,9.58774e+07,0.610202
ATG9-GolSeg_13Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_002.nd2,4,1,2.67477e+06,1.44813e+08,0.627077
,,2,7.94948e+06,1.55125e+08,0.60506
,,3,2.85157e+06,9.54327e+07,0.603898
,,4,3.55259e+06,2.28533e+08,0.593648
ATG9-GolSeg_13Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_004.nd2,6,1,382676,1.29535e+08,0.593321
,,2,3.19148e+06,8.1815e+07,0.543364
,,3,6.30628e+06,9.01981e+07,0.677259
,,4,3.71126e+06,1.09093e+08,0.649155
,,5,8.5547e+06,1.19035e+08,0.61393
,,6,3.17661e+06,1.67143e+08,0.612546
ATG9-GolSeg_13Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_005_crop.nd2,4,1,2.36147e+06,1.2505e+08,0.642044
,,2,3.51672e+06,9.52745e+07,0.6125
,,3,4.69546e+06,1.3083e+08,0.496885
,,4,2.1848e+06,1.25369e+08,0.62752
ATG9-GolSeg_13Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_006_crop.nd2,4,1,6.20112e+06,9.60581e+07,0.595234
,,2,6.20551e+06,9.31443e+07,0.602771
,,3,8.11444e+06,8.35094e+07,0.56718
